Item,Element,Unit
Unmanufactured tobacco,Area harvested,ha
Unmanufactured tobacco,Production,t
Unmanufactured tobacco,Yield,kg/ha
"Vanilla, raw",Area harvested,ha
"Vanilla, raw",Production,t
"Vanilla, raw",Yield,kg/ha
Vegetables Primary,Area harvested,ha
Vegetables Primary,Production,t
Vegetables Primary,Yield,kg/ha
Vetches,Area harvested,ha
Vetches,Production,t
Vetches,Yield,kg/ha
"Walnuts, in shell",Area harvested,ha
"Walnuts, in shell",Production,t
"Walnuts, in shell",Yield,kg/ha
Watermelons,Area harvested,ha
Watermelons,Production,t
Watermelons,Yield,kg/ha
Wheat,Area harvested,ha
Wheat,Production,t
Wheat,Yield,kg/ha
"Whey, condensed",Production,t
"Whey, dry",Production,t
Whole milk powder,Production,t
"Whole milk, condensed",Production,t
"Whole milk, evaporated",Production,t
Wine,Production,t
Yams,Area harvested,ha
Yams,Production,t
Yams,Yield,kg/ha
Yautia,Area harvested,ha
Yautia,Production,t
Yautia,Yield,kg/ha
Yoghurt,Production,t
